,cons.price.idx,subscribe,summer,euribor3m,n_campaign,cons.conf.idx,contacted,winter,spring,emp.var.rate,age_mean,client_id,nr.employed,previous,job_binned_services + blue_collar,job_binned_technician + misc. level pos. + management + admin.,marital_married,marital_single,education_basic.6y,education_basic.9y,education_high.school,education_illiterate,education_professional.course,education_university.degree,default_unknown,housing_yes,loan_yes,contact_telephone,day_of_week_mon,day_of_week_thu,day_of_week_tue,day_of_week_wed,poutcome_nonexistent,poutcome_success,age_dist_Age_31_to_36,age_dist_Age_36_to_41,age_dist_Age_41_to_50,age_dist_Age_gt_50
0,94.465,0,1,4.959,1,-41.8,0,0,0,1.4,0,3,5228.1,0,0,0,1,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,1,0,0,1,0,0
1,92.89299999999999,0,0,1.2990000000000002,1,-46.2,0,0,1,-1.8,0,5,5099.1,1,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0
2,93.2,0,0,4.0760000000000005,1,-42.0,0,0,0,-0.1,1,14,5195.8,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,0,1
3,92.963,0,1,1.266,0,-40.8,0,0,0,-2.9,0,15,5076.2,0,0,1,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,0
4,92.89299999999999,0,0,1.334,0,-46.2,0,0,1,-1.8,0,16,5099.1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0
5,93.994,0,0,4.857,0,-36.4,0,0,1,1.1,1,18,5191.0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,1,0
6,93.444,0,1,4.967,0,-36.1,0,0,0,1.4,0,21,5228.1,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
7,93.444,1,1,4.9639999999999995,0,-36.1,0,0,0,1.4,0,22,5228.1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,1,0,0
8,93.444,0,1,4.9639999999999995,1,-36.1,0,0,0,1.4,0,24,5228.1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,0,0
9,93.444,0,1,4.963,1,-36.1,0,0,0,1.4,0,26,5228.1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0
10,93.91799999999999,0,1,4.962,0,-42.7,0,0,0,1.4,0,27,5228.1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0
11,93.876,1,0,0.682,0,-40.0,1,0,1,-1.8,1,32,5008.7,2,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0
12,93.91799999999999,0,1,4.963,1,-42.7,0,0,0,1.4,0,34,5228.1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0
13,93.369,1,0,0.65,1,-34.8,0,0,1,-1.8,0,36,5008.7,2,0,1,0,1,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0
14,93.994,0,0,4.856,0,-36.4,0,0,1,1.1,1,38,5191.0,0,1,0,1,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,1,0
15,93.994,1,0,4.857,1,-36.4,0,0,1,1.1,0,39,5191.0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,1,0,0,0,0,0
16,92.89299999999999,0,0,1.3130000000000002,1,-46.2,0,0,1,-1.8,1,40,5099.1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
17,93.994,0,0,4.857,1,-36.4,0,0,1,1.1,0,45,5191.0,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0
18,93.369,1,0,0.653,1,-34.8,1,0,1,-1.8,1,46,5008.7,3,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0
19,92.89299999999999,0,0,1.291,0,-46.2,0,0,1,-1.8,0,48,5099.1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
20,93.91799999999999,0,1,4.962,1,-42.7,0,0,0,1.4,0,50,5228.1,0,0,1,0,1,0,0,0,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0
21,93.075,0,0,1.405,1,-47.1,0,0,1,-1.8,1,51,5099.1,0,0,1,1,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,0,1
22,93.075,0,0,1.405,0,-47.1,0,0,1,-1.8,0,53,5099.1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
23,94.465,0,1,4.959,1,-41.8,0,0,0,1.4,0,54,5228.1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
24,93.994,0,0,4.8580000000000005,1,-36.4,0,0,1,1.1,0,55,5191.0,0,1,0,1,0,0,0,1,0,0,0,1,1,0,1,0,0,0,1,1,0,1,0,0,0
25,93.2,0,0,4.021,1,-42.0,0,0,0,-0.1,1,57,5195.8,0,0,1,1,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,1,0
26,93.444,0,1,4.963,0,-36.1,0,0,0,1.4,1,59,5228.1,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,0,0,1,0
27,92.89299999999999,0,0,1.2990000000000002,1,-46.2,0,0,1,-1.8,1,62,5099.1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1
28,93.91799999999999,0,1,4.96,1,-42.7,0,0,0,1.4,0,63,5228.1,0,0,1,0,1,0,0,0,0,1,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0
